index;rot-judgment;is optional
143342;understandable.;
145286;t is okay;
148302;everyone is expected;
150365;people are encouraged;
152994;it’s okay;
155747;fine to;
157020;reasonable.;
163414;traditional;
163454;exoected;
165456;depressing.;
167609;n't expected;
168593;a woman's right;
171993;bad;
174021;step parents are expected to;
175418;it good;
175678;responsible for;
175972;expected that;
178330;permissible;
178548;sometimes expected;
178610;smart.;
178878;standard;
178972;families are expected;
179444;should try;
180374;should  never;
180397;your responsibility;
181835;t's understandable;
182999;mean;
183556;people expect you to;
183664;it’s understandable;
184065;okay if you're scared to;
184884;it’s important;
187872;teachers are expected to;
189090;useful;
189710;parents are supposed to;
191137;normal for husbands;
192048;crucial;
192688;understood sometimes;
193020;boyfriends are expected;
193132;normal for people;
195489;important to;
197677;desirable;
199722;are supposed to be;
202264;noble;
202810;can't;
203174;up to you;
203875;its is normal;
205807;fairly normal;
207836;friends are expected to;
207842;totally fine;
208507;ordinary;
208510;better;
208648;one can;
211164;encouraging;
211893;you should always try;
212174;fine.;
212828;you're free;1
213386;it can be expensive;
214760;crucial.;
215194;needed;
215804;it’s normal;
216035;routine;
216725;t is normall;
216940;t's expected;
217494;their responsibility;
217798;responsibility;
218608;often;
218817;your job as a parent;
219881;can evict;
220109;can be;
221491;typical;
221928;one has to;
222301;sad;
223054;thrifty;
223273;you;
226018;okay i;
228879;you are supposed to;
229021;teachers are supposed to;
230116;hard;
230610;expected that pawn shops;
232062;dads are expected;
232104;possible;1
232571;;
233401;a great way;
233606;allowable;
233898;mature;
234159;has a right;
234290;parents;
237059;it takes courage;
237305;you should expect to;
238402;people will think;
238741;fine to consider;
238899;expected that doctors and nurses;
239092;doctors;
239211;moms and dads are expected;
239617;instinctive;
240846;makes you;
242094;an important life event;
243148;supervisors should;
244200;be;
245062;good for a child;
245071;the right thing to do.;
245534;it requires;
247860;a relief;
248006;expected that people will;
248325;get demoted;
248965;kids are expected to;
249353;you should only;
253811;people sometimes;
255073;it might;
256008;friends should;
257983;fortune;
258979;grandchildren are expected;
260360;you should expect;
261461;you should always expect;
261964;as a parent, you need to;
261969;be sure;
263176;okay if you don't;
263406;good discipline;
263768;controlling;
263981;still appropriate;
264128;unethical;
266064;should always.;
266684;should  be allowed;
267396;important.;
268680;a right.;
272105;necessary;
273451;people appreciate;
273653;doctors are expected to;
276528;rational;
276560;have to;
278600;acceptabe;
279842;people;
280785;are supposed to;
281568;perfectly normal and okay.;
281915;couples are expected to;
281920;often do;
282957;adults should;
283177;expected that your significant other;
283593;exciting;
284327;students are expected;
286180;people shouldn't;
288174;people in relationships are expected;
288689;expected to keep up with them;
290098;good and expected;
290125;understandable and okay;
290451;considerate;
290609;your friends should;
291372;its appropriate;
292023;key;
292971;not unreasonable;
295383;be okay;
